20 190
0 1 983
0 2 247
0 3 35
0 4 25
0 5 34
0 6 12
0 7 46
0 8 39
0 9 813
0 10 43
0 11 0
0 12 456
0 13 40
0 14 23
0 15 147
0 16 303
0 17 28
0 18 317
0 19 48
1 2 867
1 3 901
1 4 17
1 5 9
1 6 26
1 7 35
1 8 46
1 9 287
1 10 11
1 11 14
1 12 132
1 13 24
1 14 39
1 15 968
1 16 816
1 17 25
1 18 285
1 19 1
2 3 841
2 4 2
2 5 29
2 6 41
2 7 21
2 8 25
2 9 93
2 10 13
2 11 20
2 12 167
2 13 7
2 14 31
2 15 18
2 16 719
2 17 44
2 18 872
2 19 48
3 4 38
3 5 47
3 6 43
3 7 2
3 8 41
3 9 749
3 10 25
3 11 26
3 12 376
3 13 36
3 14 32
3 15 78
3 16 34
3 17 16
3 18 673
3 19 23
4 5 557
4 6 426
4 7 472
4 8 701
4 9 9
4 10 514
4 11 958
4 12 43
4 13 801
4 14 483
4 15 25
4 16 25
4 17 756
4 18 28
4 19 36
5 6 680
5 7 441
5 8 845
5 9 38
5 10 173
5 11 963
5 12 20
5 13 449
5 14 801
5 15 40
5 16 7
5 17 700
5 18 5
5 19 277
6 7 580
6 8 330
6 9 44
6 10 453
6 11 125
6 12 26
6 13 177
6 14 337
6 15 7
6 16 36
6 17 583
6 18 3
6 19 73
7 8 236
7 9 20
7 10 394
7 11 915
7 12 14
7 13 525
7 14 235
7 15 22
7 16 8
7 17 266
7 18 29
7 19 731
8 9 25
8 10 247
8 11 535
8 12 9
8 13 382
8 14 88
8 15 33
8 16 27
8 17 938
8 18 25
8 19 388
9 10 44
9 11 29
9 12 821
9 13 19
9 14 49
9 15 147
9 16 201
9 17 7
9 18 333
9 19 6
10 11 837
10 12 42
10 13 362
10 14 150
10 15 15
10 16 45
10 17 790
10 18 11
10 19 239
11 12 18
11 13 960
11 14 226
11 15 17
11 16 41
11 17 413
11 18 18
11 19 797
12 13 45
12 14 34
12 15 995
12 16 331
12 17 10
12 18 124
12 19 15
13 14 47
13 15 7
13 16 15
13 17 150
13 18 0
13 19 457
14 15 3
14 16 3
14 17 764
14 18 13
14 19 178
15 16 419
15 17 20
15 18 31
15 19 32
16 17 26
16 18 833
16 19 7
17 18 24
17 19 935
18 19 8
