20 190
0 1 138
0 2 46
0 3 629
0 4 884
0 5 25
0 6 908
0 7 601
0 8 28
0 9 1
0 10 719
0 11 669
0 12 25
0 13 598
0 14 742
0 15 41
0 16 887
0 17 326
0 18 216
0 19 12
1 2 21
1 3 940
1 4 421
1 5 37
1 6 812
1 7 538
1 8 39
1 9 27
1 10 748
1 11 438
1 12 37
1 13 347
1 14 982
1 15 1
1 16 768
1 17 909
1 18 771
1 19 48
2 3 32
2 4 45
2 5 27
2 6 48
2 7 8
2 8 633
2 9 970
2 10 8
2 11 3
2 12 118
2 13 12
2 14 11
2 15 892
2 16 19
2 17 6
2 18 22
2 19 165
3 4 604
3 5 18
3 6 274
3 7 522
3 8 38
3 9 37
3 10 456
3 11 744
3 12 10
3 13 337
3 14 740
3 15 5
3 16 91
3 17 907
3 18 461
3 19 27
4 5 30
4 6 410
4 7 332
4 8 29
4 9 8
4 10 414
4 11 173
4 12 18
4 13 158
4 14 950
4 15 8
4 16 674
4 17 633
4 18 251
4 19 37
5 6 30
5 7 3
5 8 140
5 9 722
5 10 30
5 11 42
5 12 917
5 13 35
5 14 45
5 15 686
5 16 15
5 17 39
5 18 13
5 19 573
6 7 447
6 8 38
6 9 15
6 10 842
6 11 713
6 12 24
6 13 729
6 14 687
6 15 30
6 16 241
6 17 475
6 18 76
6 19 23
7 8 0
7 9 46
7 10 375
7 11 44
7 12 16
7 13 653
7 14 306
7 15 39
7 16 494
7 17 136
7 18 701
7 19 9
8 9 406
8 10 13
8 11 42
8 12 398
8 13 33
8 14 22
8 15 813
8 16 0
8 17 15
8 18 18
8 19 551
9 10 24
9 11 25
9 12 827
9 13 30
9 14 10
9 15 361
9 16 49
9 17 33
9 18 45
9 19 742
10 11 108
10 12 11
10 13 128
10 14 641
10 15 15
10 16 23
10 17 530
10 18 79
10 19 6
11 12 37
11 13 347
11 14 198
11 15 31
11 16 359
11 17 190
11 18 879
11 19 48
12 13 42
12 14 34
12 15 270
12 16 19
12 17 5
12 18 27
12 19 156
13 14 271
13 15 19
13 16 995
13 17 981
13 18 948
13 19 43
14 15 1
14 16 214
14 17 136
14 18 325
14 19 33
15 16 49
15 17 8
15 18 5
15 19 690
16 17 394
16 18 848
16 19 35
17 18 823
17 19 24
18 19 32
