20 190
0 1 48
0 2 58
0 3 338
0 4 28
0 5 10
0 6 39
0 7 2
0 8 46
0 9 305
0 10 977
0 11 851
0 12 32
0 13 207
0 14 10
0 15 36
0 16 9
0 17 22
0 18 27
0 19 7
1 2 10
1 3 4
1 4 541
1 5 27
1 6 699
1 7 544
1 8 107
1 9 9
1 10 15
1 11 17
1 12 48
1 13 41
1 14 467
1 15 64
1 16 427
1 17 46
1 18 54
1 19 160
2 3 81
2 4 47
2 5 45
2 6 14
2 7 2
2 8 2
2 9 363
2 10 664
2 11 129
2 12 1
2 13 543
2 14 48
2 15 40
2 16 16
2 17 10
2 18 47
2 19 31
3 4 43
3 5 43
3 6 43
3 7 16
3 8 41
3 9 114
3 10 399
3 11 270
3 12 30
3 13 405
3 14 18
3 15 21
3 16 18
3 17 46
3 18 31
3 19 44
4 5 591
4 6 998
4 7 42
4 8 651
4 9 49
4 10 35
4 11 48
4 12 413
4 13 28
4 14 328
4 15 928
4 16 692
4 17 694
4 18 768
4 19 397
5 6 681
5 7 704
5 8 898
5 9 4
5 10 29
5 11 38
5 12 218
5 13 6
5 14 256
5 15 39
5 16 136
5 17 414
5 18 233
5 19 25
6 7 576
6 8 932
6 9 16
6 10 14
6 11 44
6 12 988
6 13 18
6 14 977
6 15 96
6 16 434
6 17 663
6 18 787
6 19 473
7 8 957
7 9 19
7 10 48
7 11 48
7 12 360
7 13 3
7 14 896
7 15 348
7 16 823
7 17 517
7 18 286
7 19 534
8 9 23
8 10 21
8 11 27
8 12 910
8 13 30
8 14 92
8 15 144
8 16 540
8 17 727
8 18 22
8 19 27
9 10 884
9 11 400
9 12 41
9 13 878
9 14 25
9 15 14
9 16 1
9 17 23
9 18 47
9 19 17
10 11 435
10 12 13
10 13 417
10 14 14
10 15 35
10 16 46
10 17 32
10 18 28
10 19 41
11 12 7
11 13 731
11 14 23
11 15 17
11 16 37
11 17 8
11 18 35
11 19 4
12 13 46
12 14 113
12 15 421
12 16 537
12 17 483
12 18 774
12 19 165
13 14 41
13 15 5
13 16 29
13 17 21
13 18 42
13 19 5
14 15 241
14 16 819
14 17 699
14 18 33
14 19 254
15 16 942
15 17 293
15 18 202
15 19 488
16 17 642
16 18 868
16 19 167
17 18 158
17 19 207
18 19 455
