20 190
0 1 956
0 2 799
0 3 548
0 4 753
0 5 239
0 6 41
0 7 800
0 8 954
0 9 184
0 10 560
0 11 443
0 12 438
0 13 399
0 14 227
0 15 63
0 16 5
0 17 17
0 18 19
0 19 15
1 2 36
1 3 97
1 4 295
1 5 941
1 6 22
1 7 485
1 8 840
1 9 772
1 10 544
1 11 748
1 12 561
1 13 176
1 14 350
1 15 289
1 16 10
1 17 9
1 18 330
1 19 36
2 3 436
2 4 65
2 5 763
2 6 16
2 7 467
2 8 660
2 9 130
2 10 692
2 11 666
2 12 57
2 13 723
2 14 479
2 15 671
2 16 31
2 17 3
2 18 336
2 19 17
3 4 584
3 5 615
3 6 0
3 7 793
3 8 379
3 9 590
3 10 747
3 11 624
3 12 73
3 13 353
3 14 376
3 15 537
3 16 37
3 17 35
3 18 380
3 19 44
4 5 87
4 6 46
4 7 537
4 8 387
4 9 5
4 10 882
4 11 763
4 12 310
4 13 124
4 14 92
4 15 690
4 16 42
4 17 40
4 18 816
4 19 30
5 6 3
5 7 130
5 8 427
5 9 664
5 10 120
5 11 135
5 12 778
5 13 248
5 14 902
5 15 878
5 16 9
5 17 31
5 18 297
5 19 2
6 7 43
6 8 21
6 9 28
6 10 22
6 11 20
6 12 13
6 13 32
6 14 23
6 15 8
6 16 701
6 17 98
6 18 43
6 19 233
7 8 209
7 9 793
7 10 745
7 11 273
7 12 301
7 13 577
7 14 939
7 15 0
7 16 36
7 17 25
7 18 391
7 19 2
8 9 953
8 10 272
8 11 642
8 12 980
8 13 615
8 14 295
8 15 330
8 16 17
8 17 5
8 18 122
8 19 21
9 10 75
9 11 320
9 12 586
9 13 854
9 14 955
9 15 296
9 16 46
9 17 42
9 18 899
9 19 41
10 11 563
10 12 562
10 13 234
10 14 960
10 15 505
10 16 6
10 17 3
10 18 792
10 19 29
11 12 348
11 13 592
11 14 297
11 15 280
11 16 34
11 17 29
11 18 984
11 19 4
12 13 618
12 14 995
12 15 224
12 16 39
12 17 48
12 18 14
12 19 7
13 14 275
13 15 126
13 16 34
13 17 48
13 18 664
13 19 43
14 15 253
14 16 37
14 17 16
14 18 285
14 19 40
15 16 48
15 17 33
15 18 839
15 19 44
16 17 558
16 18 14
16 19 99
17 18 4
17 19 610
18 19 0
