20 190
0 1 47
0 2 547
0 3 539
0 4 464
0 5 10
0 6 371
0 7 792
0 8 33
0 9 391
0 10 296
0 11 12
0 12 42
0 13 41
0 14 163
0 15 32
0 16 20
0 17 26
0 18 197
0 19 35
1 2 20
1 3 0
1 4 19
1 5 669
1 6 44
1 7 4
1 8 107
1 9 26
1 10 21
1 11 618
1 12 106
1 13 917
1 14 40
1 15 99
1 16 206
1 17 839
1 18 48
1 19 934
2 3 878
2 4 871
2 5 38
2 6 324
2 7 796
2 8 9
2 9 15
2 10 634
2 11 2
2 12 18
2 13 23
2 14 347
2 15 14
2 16 33
2 17 31
2 18 584
2 19 4
3 4 930
3 5 45
3 6 922
3 7 176
3 8 0
3 9 158
3 10 749
3 11 19
3 12 47
3 13 7
3 14 157
3 15 24
3 16 34
3 17 49
3 18 290
3 19 1
4 5 48
4 6 221
4 7 514
4 8 13
4 9 501
4 10 608
4 11 44
4 12 6
4 13 12
4 14 366
4 15 37
4 16 15
4 17 49
4 18 371
4 19 29
5 6 45
5 7 45
5 8 412
5 9 39
5 10 41
5 11 501
5 12 810
5 13 802
5 14 0
5 15 887
5 16 670
5 17 439
5 18 18
5 19 691
6 7 270
6 8 37
6 9 730
6 10 46
6 11 31
6 12 27
6 13 23
6 14 955
6 15 0
6 16 28
6 17 32
6 18 342
6 19 49
7 8 33
7 9 534
7 10 125
7 11 47
7 12 26
7 13 17
7 14 904
7 15 41
7 16 16
7 17 11
7 18 157
7 19 20
8 9 41
8 10 18
8 11 954
8 12 235
8 13 187
8 14 8
8 15 736
8 16 834
8 17 684
8 18 3
8 19 603
9 10 146
9 11 19
9 12 20
9 13 19
9 14 943
9 15 6
9 16 0
9 17 38
9 18 858
9 19 18
10 11 38
10 12 11
10 13 35
10 14 468
10 15 43
10 16 8
10 17 45
10 18 793
10 19 33
11 12 634
11 13 87
11 14 4
11 15 400
11 16 802
11 17 371
11 18 26
11 19 828
12 13 512
12 14 13
12 15 804
12 16 520
12 17 650
12 18 24
12 19 468
13 14 0
13 15 869
13 16 841
13 17 141
13 18 39
13 19 633
14 15 39
14 16 49
14 17 13
14 18 842
14 19 13
15 16 877
15 17 628
15 18 12
15 19 973
16 17 24
16 18 41
16 19 905
17 18 7
17 19 235
18 19 22
