20 190
0 1 190
0 2 501
0 3 20
0 4 2
0 5 33
0 6 32
0 7 773
0 8 679
0 9 132
0 10 21
0 11 517
0 12 35
0 13 49
0 14 971
0 15 31
0 16 701
0 17 3
0 18 7
0 19 42
1 2 185
1 3 5
1 4 307
1 5 43
1 6 14
1 7 334
1 8 669
1 9 12
1 10 134
1 11 102
1 12 11
1 13 22
1 14 539
1 15 19
1 16 971
1 17 20
1 18 30
1 19 34
2 3 31
2 4 320
2 5 20
2 6 32
2 7 704
2 8 819
2 9 217
2 10 474
2 11 555
2 12 13
2 13 44
2 14 488
2 15 9
2 16 229
2 17 34
2 18 15
2 19 39
3 4 8
3 5 212
3 6 800
3 7 19
3 8 47
3 9 44
3 10 18
3 11 42
3 12 708
3 13 417
3 14 22
3 15 14
3 16 24
3 17 476
3 18 232
3 19 537
4 5 5
4 6 45
4 7 925
4 8 607
4 9 846
4 10 451
4 11 487
4 12 12
4 13 46
4 14 204
4 15 39
4 16 188
4 17 30
4 18 34
4 19 18
5 6 985
5 7 8
5 8 16
5 9 3
5 10 3
5 11 14
5 12 755
5 13 65
5 14 24
5 15 791
5 16 37
5 17 674
5 18 877
5 19 651
6 7 41
6 8 5
6 9 31
6 10 39
6 11 2
6 12 966
6 13 706
6 14 41
6 15 304
6 16 11
6 17 580
6 18 90
6 19 486
7 8 141
7 9 885
7 10 169
7 11 991
7 12 1
7 13 30
7 14 936
7 15 26
7 16 946
7 17 34
7 18 18
7 19 14
8 9 244
8 10 889
8 11 725
8 12 34
8 13 0
8 14 497
8 15 34
8 16 401
8 17 42
8 18 10
8 19 3
9 10 945
9 11 560
9 12 39
9 13 39
9 14 135
9 15 41
9 16 637
9 17 38
9 18 11
9 19 39
10 11 162
10 12 32
10 13 11
10 14 194
10 15 19
10 16 431
10 17 11
10 18 19
10 19 44
11 12 21
11 13 26
11 14 224
11 15 16
11 16 82
11 17 44
11 18 9
11 19 43
12 13 545
12 14 20
12 15 307
12 16 4
12 17 773
12 18 90
12 19 269
13 14 4
13 15 741
13 16 3
13 17 348
13 18 232
13 19 645
14 15 44
14 16 246
14 17 32
14 18 35
14 19 31
15 16 18
15 17 153
15 18 36
15 19 757
16 17 42
16 18 43
16 19 40
17 18 943
17 19 763
18 19 337
